date;num_dtp;num_death;num_hurt;num_dtp_mat_usherb;num_violation_pdd;num_drunk;num_speeding;link
2015-03-12;10;0;11;211;8690;52;7308;http://www.gibdd.ru/r/52/accident/1434762/
2015-03-05;16;0;21;330;8636;60;7174;http://www.gibdd.ru/r/52/accident/1423384/
2015-03-04;12;1;27;260;8950;52;7343;http://www.gibdd.ru/r/52/accident/1420923/
2015-02-28;5;2;6;221;10748;50;9156;http://www.gibdd.ru/r/52/accident/1416195/
2015-02-27;6;1;7;221;10780;50;9156;http://www.gibdd.ru/r/52/accident/1414423/
2015-02-26;7;1;6;258;8491;58;6995;http://www.gibdd.ru/r/52/accident/1412937/
2015-02-25;8;2;8;252;6596;53;5202;http://www.gibdd.ru/r/52/accident/1411048/
2015-02-23;8;0;9;149;3304;102;2050;http://www.gibdd.ru/r/52/accident/1407397/
2015-02-22;9;1;13;195;3179;100;1824;http://www.gibdd.ru/r/52/accident/1407388/
2015-02-21;9;0;12;251;4497;80;3139;http://www.gibdd.ru/r/52/accident/1405559/
2015-02-20;13;1;16;290;3880;65;2618;http://www.gibdd.ru/r/52/accident/1405558/
2015-02-19;7;1;13;282;2750;50;1429;http://www.gibdd.ru/r/52/accident/1403678/
2015-02-18;10;0;10;309;3256;53;1680;http://www.gibdd.ru/r/52/accident/1402130/
2015-02-17;7;0;9;277;2598;53;1142;http://www.gibdd.ru/r/52/accident/1400394/
2015-02-16;6;0;6;268;2402;77;1018;http://www.gibdd.ru/r/52/accident/1398926/
2015-02-15;10;0;14;203;2688;96;1422;http://www.gibdd.ru/r/52/accident/1397298/
2015-02-14;11;1;10;139;2552;82;1188;http://www.gibdd.ru/r/52/accident/1396514/
2015-02-13;17;2;18;186;2932;66;1618;http://www.gibdd.ru/r/52/accident/1394574/
2015-02-12;3;0;3;217;3000;50;1293;http://www.gibdd.ru/r/52/accident/1394101/
2015-02-11;5;0;5;328;2398;50;875;http://www.gibdd.ru/r/52/accident/1392429/
2015-02-10;8;0;14;368;2209;41;769;http://www.gibdd.ru/r/52/accident/1390363/
2015-02-09;11;0;17;186;2719;65;1400;http://www.gibdd.ru/r/52/accident/1387758/
2015-02-08;14;3;23;266;2256;77;1051;http://www.gibdd.ru/r/52/accident/1385554/
2015-02-07;12;4;16;454;1476;72;185;http://www.gibdd.ru/r/52/accident/1385542/
2015-02-06;7;1;6;439;1915;50;553;http://www.gibdd.ru/r/52/accident/1385524/
2015-02-04;9;0;9;187;2276;41;1081;http://www.gibdd.ru/r/52/accident/1378058/
2015-02-03;7;1;7;196;2094;40;845;http://www.gibdd.ru/r/52/accident/1375320/
2015-01-29;11;4;9;298;2894;58;1473;http://www.gibdd.ru/r/52/accident/1366540/
2015-01-28;21;5;23;325;2839;53;1400;http://www.gibdd.ru/r/52/accident/1363780/
2015-01-25;9;0;10;256;1412;82;141;http://www.gibdd.ru/r/52/accident/1356048/
2015-01-19;11;1;13;214;3346;82;1767;http://www.gibdd.ru/r/52/accident/1344512/
2015-01-16;15;2;15;313;2222;54;900;http://www.gibdd.ru/r/52/accident/1339806/
2015-01-15;17;0;18;273;2450;50;1036;http://www.gibdd.ru/r/52/accident/1337150/
2015-01-12;18;1;21;320;1735;50;503;http://www.gibdd.ru/r/52/accident/1328701/
