id;link;date;address;description;num_death;num_hurt
0;http://www.gibdd.ru/r/52/accident/1434762/;2015-03-12 08:30:00;Советский район, пр-т Гагарина, 66;столкновение с а/м ВАЗ 219410;0;1
1;http://www.gibdd.ru/r/52/accident/1434762/;2015-03-12 09:20:00;Нижегородский район, ул. Н.В.Набережная, 13;падение пассажира;0;1
2;http://www.gibdd.ru/r/52/accident/1434762/;2015-03-12 17:00:00;Нижегородский район, ул. Белинского, 38;наезд на пешехода;0;1
3;http://www.gibdd.ru/r/52/accident/1434762/;2015-03-12 17:30:00;Канавинский район, ул. Советская, 14;паление пассажира;0;1
4;http://www.gibdd.ru/r/52/accident/1434762/;2015-03-12 19:20:00;Ленинский район, ул. Удмуртская, 2;столкновение с а/м ГАЗ 3110;0;1
5;http://www.gibdd.ru/r/52/accident/1434762/;2015-02-12 19:50:00;г. Арзамас, ул. Мучной ряд, 2;столкновение с а/м Фольксваген;0;1
6;http://www.gibdd.ru/r/52/accident/1434762/;2015-03-12 20:15:00;Борский район, 27 км а/д Н.Новгород – Киров;наезд на пешехода;0;1
7;http://www.gibdd.ru/r/52/accident/1434762/;2015-03-12 20:30:00;Советский район, ул. Белинского, 59;none;0;1
8;http://www.gibdd.ru/r/52/accident/1434762/;2015-03-11 00:20:00;Сормовский район, б-ре Юбилейный, 13;none;0;2
9;http://www.gibdd.ru/r/52/accident/1434762/;2015-03-11 07:30:00;Городецкий район, г. Заволжье, ул. Грунина, 3;столкновение с автобусом ЛиАЗ 5256 (маршрут №101 Городец – Заволжье);0;1
10;http://www.gibdd.ru/r/52/accident/1432562/;2015-03-11 14:20:00;г. Лысково, ул. Казанская;столкновение с а/м МАН;0;3
11;http://www.gibdd.ru/r/52/accident/1432562/;2015-03-11 07:20:00;Автозаводский район, пр-т Молодежный;столкновение с а/м Рено;0;2
12;http://www.gibdd.ru/r/52/accident/1432562/;2015-03-11 07:30:00;Автозаводский район, ул. Лескова;наезд на пешеходов переходящих проезжую часть по нерегулируемому пешеходному переходу;0;2
13;http://www.gibdd.ru/r/52/accident/1432562/;2015-03-11 04:50:00;г. Арзамас, ул. Молокозаводская;опрокидывание в кювет;0;1
14;http://www.gibdd.ru/r/52/accident/1432562/;2015-03-11 17:15:00;Сормовский район, ул. Свободы;столкновение с а/м Фольксваген;0;1
15;http://www.gibdd.ru/r/52/accident/1432562/;2015-03-11 18:45:00;Автозаводский район, ул. Веденяпина;падение пассажира;0;1
16;http://www.gibdd.ru/r/52/accident/1432562/;2015-03-11 18:50:00;Автозаводский район, ул. Переходникова;наезд на пешехода;0;1
17;http://www.gibdd.ru/r/52/accident/1432562/;2015-03-06 23:30:00;Ленинский район, ул. Дружбы;столкновение с а/м ВАЗ 21074;0;1
18;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 06:00:00;Ленинский район, ул. Н.Прибоя;столкновение с автобусом ЛИАЗ 5293 (маршрут №43;0;3
19;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 13:00:00;Канавинский район, ул. Московское шоссе;столкновение с а/м Хендай и а/м Киа;0;3
20;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 21:50:00;г. Арзамас, ул. Пландина;столкновение с а/м ВАЗ 2112;0;2
21;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 22:45:00;г. Дзержинск, пр-т Циолковского;столкновение с а/м Ауди и с а/м Хонда;0;2
22;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 08:40:00;Городецкий район, 11 км а/д Городец - Зиняки;столкновение с а/м Субару;0;1
23;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 10:40:00;Советский район, ул. Бекетова;наезд на пешехода;0;1
24;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 11:20:00;Автозаводский район, пр-т Октября;столкновение с а/м ВАЗ 2112;0;1
25;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 13:25:00;г. Дзержинск, пр-т Ленина;наезд на пешехода;0;1
26;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 14:00:00;Советский район, ул.Н.Сусловой;падение пассажира;0;1
27;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 15:00:00;Автозаводский район, пр-т Кирова;наезд на пешехода;0;1
28;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 16:40:00;Навашинский район, 150 км а/д Владимир – Муром – Арзамас;наезд на препятствие (дерево);0;1
29;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 17:50:00;Канавинский район, ул. Акимова;наезд на пешехода;0;1
30;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-10 19:00:00;Сормовский район, пр-т Кораблестроителей;наезд на пешехода;0;1
31;http://www.gibdd.ru/r/52/accident/1430128/;2015-03-09 19:30:00;Советский район, ул. Ванеева;падение пассажира;0;1
32;http://www.gibdd.ru/r/52/accident/1430124/;2015-03-09 20:05:00;Городецкий район, 42 км а/д Линда – Городец – Заволжье;наезд на пешехода;1;0
33;http://www.gibdd.ru/r/52/accident/1430124/;2015-02-09 11:00:00;Борский район, 29 км а/д Неклюдово – Бор – Валки – Макарьево;столкновение с а/м ВАЗ 21214;0;3
34;http://www.gibdd.ru/r/52/accident/1430124/;2015-03-09 19:00:00;Арзамасский район, 16 км а/д Арзамас – Ардатов;столкновение с а/м ВАЗ 11183;0;3
35;http://www.gibdd.ru/r/52/accident/1430124/;2015-02-09 01:40:00;Ветлужский район, р.п. Калинино, ул. Ленина, 22;наезд на двух пешеходов;0;2
36;http://www.gibdd.ru/r/52/accident/1430124/;2015-03-09 19:35:00;Ардатовский район, 232 км а/д Владимир – Муром – Арзамас;столкновение с а/м Фольксваген;0;2
37;http://www.gibdd.ru/r/52/accident/1430124/;2015-03-09 00:05:00;Сормовский район, ул. Коминтерна, 246;столкновение с а/м Митцубиси;0;1
38;http://www.gibdd.ru/r/52/accident/1430124/;2015-03-09 06:55:00;Воротынский район, 539 км а/д Москва – Уфа;опрокидывание в кювет;0;1
39;http://www.gibdd.ru/r/52/accident/1430124/;2015-05-09 12:30:00;г. Дзержинск, пр-т Циолковского, 60;наезд на пешехода;0;1
40;http://www.gibdd.ru/r/52/accident/1430124/;2015-03-09 12:40:00;г. Дзержинск, ул. Красноармейская, 5А;наезд на пешехода;0;1
41;http://www.gibdd.ru/r/52/accident/1430124/;2015-03-09 18:00:00;Городецкий район, 11 км а/д Зиняки – Зарубино – Могильцы;опрокидывание на проезжей части;0;1
42;http://www.gibdd.ru/r/52/accident/1430124/;2015-03-08 23:30:00;Советский район, ул. Белинского, 11;наезд на пешехода;0;1
43;http://www.gibdd.ru/r/52/accident/1430110/;2015-03-08 18:00:00;Автозаводский район, ул. Веденяпина, 2;наезд на пешехода;0;1
44;http://www.gibdd.ru/r/52/accident/1430110/;2015-03-08 20:30:00;Ленинский район, ул. Снежная, 5;столкновение с а/м ВАЗ 211440;0;1
45;http://www.gibdd.ru/r/52/accident/1430110/;2015-03-08 23:00:00;Павловский район, п. Тумботино;none;0;1
46;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 08:10:00;Нижегородский район, ул. М. Покровская, 2/59;наезд на пешехода;1;0
47;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 11:30:00;Канавинский район, ул. Московское шоссе, 302;наезд на пешехода;0;1
48;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 11:45:00;2 км а/д п. Советский – Б.Мурашкино;столкновение с а/м Тойота;0;1
49;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 13:10:00;г. Семенов, ул. Фрунзе, 33;столкновение с а/м ВАЗ 21053;0;1
50;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 14:00:00;Лысковский район, с. Просек, ул. Заводская, 18;наезд на пешехода;0;1
51;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 14:45:00;Советский район, ул. Ивлиева, 10/1;наезд на пешехода;0;1
52;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 17:00:00;г. Дзержинск, 2 км а/д Нижегородское шоссе;наезд на препятствие (снежный вал);0;1
53;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 17:05:00;г. Дзержинск, 407 км а/д Южный обход г. Н.Новгорода;опрокидывание в кювет;0;1
54;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 18:55:00;г. Бор, ул. Кольцова, 63;наезд на пешехода;0;1
55;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 19:15:00;г. Выкса, ул. Баташовых, 38А;наезд на пешехода;0;1
56;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 20:00:00;г. Бор, ул. Энгельса, 18;наезд на пешехода;0;1
57;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 20:30:00;Ленинский район, ул. Снежная, 25/1;наезд на пешехода;0;1
58;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 21:00:00;65 км а/д Н.Новгород – Саратов;наезд на пешехода;0;1
59;http://www.gibdd.ru/r/52/accident/1430104/;2015-03-07 21:50:00;г. Павлово, ул. Задарская, 17;наезд на пешехода;0;1
